parentUUID,rawTitle,cleanTitle,secondaryLanguageTitle,totalHoursWatched,imdbMatchedTitle,imdbMatchConfidence,imdbLink,imdbGenres,imdbType,imdbUserRating,imdbNumRatings,directorCount,writerCount,castCount,producerCount,composerCount,cinematographerCount,editorCount,castingDirectorCount,artDirectorCount,setDecoratorCount,costumeDesignerCount,makeUpDepartmentCount,productionManagerCount,assistantDirectorCount,artDepartmentCount,soundDepartmentCount,stuntsCount,cameraDepartmentCount,costumeDepartmentCount,editorialDepartmentCount,musicDepartmentCount,scriptDepartmentCount,miscellaneousCrewCount
b3098391-545d-4b5f-afb5-672863735d59,Time & Again (2019),Time & Again,,100000,Time Again,90.91,https://www.imdb.com/title/tt1388369/,"Action, Adventure, Sci-Fi",Film,5.6,92,1,4,25,6,,1,2,,,,,4,,1,,5,,12,,2,1,,5
0c07102f-9f43-4351-a52d-8160cba79931,Time Share // Tiempo compartido,Time Share,,100000,Time Share,100,https://www.imdb.com/title/tt0207161/,"Comedy, Family, Romance",Film,5.7,1.5K,1,1,26,10,1,1,1,3,,,1,3,2,10,4,3,5,16,2,3,4,2,10
a26541a7-52c8-4448-a933-4f2eeb328b9c,Time to Love // 新步步驚心 // 新步步惊心,Time to Love,,100000,Time to Love,100,https://www.imdb.com/title/tt0167400/,"Drama, Romance",Film,8.0,7.3K,1,1,17,1,1,1,1,,,,,,,,,2,,,,2,,,
41ebd3d1-a94b-49f9-8f2a-08d5c8a53555,Tito // تيتو,Tito,,100000,Tito,100,https://www.imdb.com/title/tt0417202/,"Action, Crime, Drama",Film,7.2,3.6K,1,2,32,6,1,1,1,,2,,,1,,1,1,1,1,3,,,1,,
820d8294-1ec5-4e80-ba98-5d1f134f4309,Tokan,Tokan,,100000,Tokan,100,https://www.imdb.com/title/tt10158628/,"Action, Adventure, Crime",Film,4.3,52,1,3,13,2,1,1,1,,1,,,,,2,,1,,1,,,,,
789a0d99-d01e-4963-843b-3a1eb826f6db,Todo sobre el asado,Todo sobre el asado,,100000,Todo sobre el asado,100,https://www.imdb.com/title/tt6079360/,Documentary,Film,6.5,620,2,1,21,7,1,1,1,,1,,,,1,1,,6,,,,,,,1
255b0237-d630-4ddd-8d9e-7666a08f51a7,Toko Barang Mantan,Toko Barang Mantan,,100000,Toko Barang Mantan,100,https://www.imdb.com/title/tt10640766/,"Comedy, Drama, Romance",Film,5.9,188,1,2,20,8,1,1,1,2,1,,,1,1,,,2,,,1,2,,1,
61265339-215a-4b41-b253-15795093f8d7,Together Free,Together Free,,100000,Together Free,100,https://www.imdb.com/title/tt19033556/,Documentary,Film,6.6,86,2,,2,,,,1,,,,,,,,,,,,,,,,
76580fc1-032e-4f7c-b0c8-ed524899ef45,Tomodachi Game 2 // トモダチゲーム 劇場版 FINAL,Tomodachi Game 2,,100000,Tomodachi Game 2,100,https://www.imdb.com/title/tt6215660/,Drama,Film,6.7,61,1,2,8,,,,,,,,,,,,,,,,,,,,
b1992ee9-bad0-49e0-b4ce-cfab4f78fac4,Too Beautiful to Lie // 그녀를 믿지 마세요,Too Beautiful to Lie,,100000,Too Beautiful to Lie,100,https://www.imdb.com/title/tt18254180/,"Comedy, Romance",Film,6.4,26,1,1,13,1,,,,,,,,,,,,,,,,,,,
e9aae85d-4f9a-4ded-a2f6-d69f7b83ce5b,Tomorrow's Dinner Table // 明日の食卓,Tomorrow's Dinner Table,,100000,Tomorrow's Dinner Table,95.65,https://www.imdb.com/title/tt14424482/,Drama,Film,5.6,39,1,2,17,,,,,,,,,,,,,,,,,,,,1
5573a9f8-4bfe-4a8b-a330-a267f9e0881d,Tomb Raider,Tomb Raider,,100000,Tomb Raider,100,https://www.imdb.com/title/tt1365519/,"Action, Adventure, Fantasy",Film,6.3,225K,1,6,65,5,1,1,3,1,9,2,2,24,10,15,126,47,87,133,44,42,37,5,166
f59c18e6-d481-4d26-9150-75f25d73a4a3,Tonkatsu-DJ Agetaro // とんかつDJアゲ太郎,Tonkatsu-DJ Agetaro,,100000,Tonkatsu DJ Age-Taro,90,https://www.imdb.com/title/tt11997258/,Comedy,Film,5.8,82,1,1,13,,,,,,,,,,,,,,,,,,1,,
a5b4fb31-cf0a-4651-8e64-0e8db629125c,Tokyo Ghoul S // 東京喰種 トーキョーグール【S】,Tokyo Ghoul S,,100000,Tokyo Ghoul: 'S',81.25,https://www.imdb.com/title/tt9179260/,"Action, Drama, Fantasy",Film,5.4,596,2,3,16,6,2,1,1,,,1,2,2,1,1,,1,3,1,,,2,1,2
dd45ba75-d078-4db2-a3b1-1c1983332542,Totem (2017),Totem,,100000,Totem,100,https://www.imdb.com/title/tt26315142/,Drama,Film,7.1,1.7K,1,1,30,10,1,1,1,2,,1,2,3,4,2,5,15,,8,,9,,1,4
b49bf70a-fcdd-4212-ba60-3dfa86d6c1ab,Toubab,Toubab,,100000,Toubab,100,https://www.imdb.com/title/tt9233428/,"Comedy, Drama",Film,6.6,604,1,2,48,8,,1,4,1,,,1,5,7,2,7,8,2,11,4,1,1,3,6
b0e5bc42-bfcd-4881-82dc-10c1c3c18d17,Torno indietro e cambio vita,Torno indietro e cambio vita,,100000,Torno indietro e cambio vita,100,https://www.imdb.com/title/tt4776556/,"Comedy, Fantasy",Film,5.4,788,1,2,37,6,2,1,1,1,,,1,2,2,2,1,4,10,8,,4,3,,6
0b26a786-413b-44ad-88f8-5f1cd7e788d5,Toxikoma,Toxikoma,,100000,Toxikoma,100,https://www.imdb.com/title/tt10735686/,"Biography, Drama",Film,7.0,2.7K,1,3,49,4,1,2,2,,1,2,1,4,6,3,10,4,3,20,2,7,,,10
73ea8223-019f-4c06-be3c-635456feca37,Top End Wedding,Top End Wedding,,100000,Top End Wedding,100,https://www.imdb.com/title/tt7555072/,"Comedy, Romance",Film,6.3,2.3K,1,5,63,9,1,1,1,1,1,,1,1,3,4,1,11,,11,2,5,4,2,19
